ULL_name,ULL_MAST_name,simbad_name,alias0,alias1,alias2,alias3,alias4,alias5,alias6,alias7,alias9,alias10,alias11,alias12
SSTC2DJ160830.7-382827,SSTC2DJ160830.7-382827,,MJS2008-50,TYC-7851-810-1,SSTC2D J160830.7-382827,SSTC2D-J160830.7-382827,2MASS J16083070-3828268,GAIA-DR2-5997490206145065088,SSTC2DJ160830-382827,SSTC2DJ160830.7-382827,,,,
RY LUP,V-RY-LUP,,HBC 252,RY-LUP,RY LUP,,,,,,,,,
MY LUP,V-MY-LUP,,CD-41 10484,2MASS J16004452-4155310,SSTC2D J160044.5-415531,GAIA-DR2-5995177933191206016,MJS2008-150,MY LUP,,,,,,
GAIA-DR3-3217634157789741952,GAIA-DR3-3217634157789741952,,GAIA EDR3 3217634157789741952,,,,,,,,,,,
CVSO-109B,CVSO-109B,,GAIA-DR3-3217630382512239232,GAIA EDR3 3217630382512239232,,,,,,,,,,
CVSO-109A,CVSO-109A,,,,,,,,,,,,,
CVSO-36A,CVSO-36A,,,,,,,,,,,,,
CVSO-36B,CVSO-36B,,GAIA-DR3-3222268122555927936,GAIA EDR3 3222268122555927936,GAIA DR2 3222268122555927936,,,,,,,,,
CVSO-165A,CVSO-165A,,,,,,,,,,,,,
CVSO-165B,CVSO-165B,,,,,,,,,,,,,
GAIA-DR3-3217473697810165504,GAIA-DR3-3217473697810165504,,GAIA EDR3 3217473697810165504,,,,,,,,,,,
CVSO 109,CVSO-109,,CVSO109,,,,,,,,,,,
SZ 45,SZ-45,,T56,HBC 590,2MASS J11173700-7704381,RX J1117.6-7704,GAIA-DR2-5201272195086070144,,,,,,,
CV CHA,V-CV-CHA,,SZ42,SZ42,2MASS J11122772-7644223,RX J1112.5-7644,GAIA-DR2-5201295319189803392,T52,,,,,,
DX CHA,V-DX-CHA,,HD104237,HD-104237,GAIA-DR2-583666656447615833,2MASS J12000511-7811346,RX J1200.1-7811,CD-77 528,,,,,,
CVSO 107,CVSO-107,,CVSO107,,,,,,,,,,,
CVSO 58,CVSO-58,,CVSO58,,,,,,,,,,,
CVSO 90,CVSO-90,,CVSO90,,,,,,,,,,,
CVSO 35,CVSO-35,,CVSO35,OB1A1192,2MASS J05254589+0145500,,,,,,,,,
KISO A-0903 134,KISO-A-0903 134,,OB1A1630,2MASS J05265537+0140224,GAIA-DR2-3222237885987655424,,,,,,,,,
CVSO 206,CVSO-206,,CVSO206,OB1A776,KISO A-0903 109,GAIA-DR2-3222286505017306240,2MASS J05244103+0154386,,,,,,,
TWA 27,TWA-27,,2MASS J12073346-3932539,1207334-393254-KF,GAIA-DR2-3459372646830687104,TWOMASSWJ1207334-393254,,,,,,,,
2MASS J15570234-1950419,2MASS-J15570234-1950419,,,,,,,,,,,,,
2MASS J15580815-2405529,2MASS-J15580815-2405529,,,,,,,,,,,,,
2MASS J15584772-1757595,2MASS-J15584772-1757595,,,,,,,,,,,,,
2MASS J16004277-2127380,2MASS-J16004277-2127380,,,,,,,,,,,,,
2MASS J16010801-2113184,2MASS-J16010801-2113184,,,,,,,,,,,,,
2MASS J16023910-2542078,2MASS-J16023910-2542078,,,,,,,,,,,,,
2MASS J16025123-2401574,2MASS-J16025123-2401574,,,,,,,,,,,,,
2MASS J16025243-2402226,2MASS-J16025243-2402226,,,,,,,,,,,,,
2MASS J16025396-2022480,2MASS-J16025396-2022480,,,,,,,,,,,,,
2MASS J16061254-2036472,2MASS-J16061254-2036472,,,,,,,,,,,,,
2MASS J16081474-1908327,2MASS-J16081474-1908327,,,,,,,,,,,,,
2MASS J16085673-2033460,2MASS-J16085673-2033460,,,,,,,,,,,,,
2MASS J16130271-2257446,2MASS-J16130271-2257446,,,,,,,,,,,,,
2MASS J16132929-2311075,2MASS-J16132929-2311075,,,,,,,,,,,,,
2MASS J16193396-2228294,2MASS-J16193396-2228294,,,,,,,,,,,,,
2MASS J16230783-2300596,2MASS-J16230783-2300596,,,,,,,,,,,,,
AB AUR,V-AB-AUR,,AB-AUR,HD 31293,BD+30 741,EM MWC 93,2MASS J04554582+3033043,GAIA-DR2-156917493449670656,,,,,,
BD-18 4244,BD-18-4244,,HBC 634,2MASS J16124051-1859282,RX J1612.6-1859,V1002 SCO,WA OPH 3,SCOPMS 52,,,,,,
BD-21 4301,BD-21-4301,,2MASS J16131858-2212489,GAIA-DR2-6242687277719794176,,,,,,,,,,
CD-22 11315,CD-22-11315,,RX J1603.6-2245,2MASS J16033550-2245560,GAIA-DR2-6243154501445899264,,,,,,,,,
CD-25 11113,CD-25-11113,,SSTC2D J154921.0-260007,RX J1549.3-2600,2MASS J15492100-2600062,GAIA-DR2-6234854283863638400,,,,,,,,
TW HYA,V-TW-HYA,,TWA 1,CD-34 7151,CD-34-7151,CD-34D7151,2MASS J11015191-3442170,TW-HYA,,,,,,
CO ORI,V-CO-ORI,,CO-ORI,BD+11 809,HBC 84,2MASS J05273833+1125389,GAIA-DR2-3339339958858842624,,,,,,,
CY TAU,V-CY-TAU,,CY-TAU,V CY TAU,2MASS J04173372+2820468,GAIA-DR2-164698634160139264,,,,,,,,
DG TAU,V-DG-TAU,,DG-TAU,V DG TAU,2MASS J04270469+2606163,GAIA-DR2-151262700852297728,,,,,,,,
DM TAU,V-DM-TAU,,DM-TAU,V DM TAU,2MASS J04334871+1810099,GAIA-DR2-3314282402395528192,HBC 62,,,,,,,
DQ TAU,V-DQ-TAU,,DQ-TAU,V DG TAU,2MASS J04465305+1700001,GAIA-DR2-3406269842981827712,,,,,,,,
DR TAU,V-DR-TAU,,DR-TAU,V DR TAU,2MASS J04470620+1658428,GAIA-DR2-3406081865148861440,HBC 74,,,,,,,
DS TAU,V-DS-TAU,,DS-TAU,V DS TAU,2MASS J04474859+2925112,GAIA-DR2-158249306976130176,,,,,,,,
EM LKCA 15,EM-LKCA-15,,EM LKCA 15,2MASS J04391779+2221034,V1079 TAU,GAIA-DR2-144936836795636864,LKCA 15,,,,,,,
EM LKCA 19,EM-LKCA-19,,EM LKCA 19,HD 282630,2MASS J04553695+3017553,V396 AUR,SSTC2D J045537.0+301755,GAIA-DR2-156900622818205312,LKCA 19,,,,,
EM LKCA 4,EM-LKCA-4,,EM LKCA 4,V1068 TAU,2MASS J04162810+2807358,GAIA-DR2-164666022471759232,V1068TAU,LKCA 4,,,,,,
EZ ORI,V-EZ-ORI,,EZ-ORI,V EZ ORI,2MASS J05341856-0504479,RX J053418.5-050450,GAIA-DR2-3209539488761714432,,,,,,,
FU ORI,V-FU-ORI,,FU-ORI,V FU ORI,BD+09 5427,EM CDS 56621,2MASS J05452235+0904123,GAIA-DR2-3336092864798790144,,,,,,
GM AUR,V-GM-AUR,,GM-AUR,V GM AUR,2MASS J04551098+3021595,GAIA-DR2-156907907082740480,,,,,,,,
GSC 06208-00834,GSC-06208-00834,,2MASS J16063169-2036232,GAIA-DR2-6244023420566008192,,,,,,,,,,
GW ORI,V-GW-ORI,,GW-ORI,V GW ORI,HD 244138,BD+11 819,2MASS J05290838+1152126,GAIA-DR2-3340856533286969600,,,,,,
GX ORI,V-GX-ORI,,GX-ORI,V GX ORI,2MASS J05300203+1213357,GAIA-DR2-3340894500797788288,,,,,,,,
V397 AUR,V-V397-AUR,,V397AUR,HBC-427,HBC 427,2MASS J04560201+3021037,SSTC2D J045602.0+302104,GAIA-DR2-156902512603777408,,,,,,
HD 142527,HD-142527,,CD-41 10447,2MASS J15564188-4219232,GAIA-DR2-5994826707951507200,HD142527,,,,,,,,
HD 163296,HD-163296,,BD-21 4779,EM MWC 275,2MASS J17562128-2157218,GAIA-DR2-4070355800839765248,,,,,,,,
HD 169142,HD-169142,,CD-29 14904,EM MWC 925,2MASS J18242978-2946492,GAIA-DR2-4048015133392824064,HD169142,,,,,,,
HD 139614,HD-139614,,HD139614,CD-42 10650,2MASS J15404638-4229536,GAIA-DR2-6001669793442284416,,,,,,,,
HD 141569,HD-141569,,HD141569,BD-03 3833,EM CDS 887,2MASS J15495775-0355162,GAIA-DR2-4399438153527026176,,,,,,,
RU LUP,V-RU-LUP,,V-RU-LUPI,SZ83,HD 142560,HD-142560,HD142560,CD-37 10602,,,,,,
HD 142666,HD-142666,,HD142666,BD-21 4228,2MASS J15564002-2201400,V1026 SCO,GAIA-DR2-6243489715051060480,,,,,,,
SU AUR,V-SU-AUR,,SU-AUR,HD 282624,HD-282642,HD282624,BD+30 743,2MASS J04555938+3034015,,,,,,
DF TAU,V-DF-TAU,,V DF TAU,HD 283654,HD-283654,HD283654,2MASS J04270280+2542223,GAIA-DR2-151179966897747840,,,,,,
T TAU,V-T-TAU,,HD 284419,T-TAU,HD284419,BD+19 706,2MASS J04215943+1932063,GAIA-DR2-48192969034959232,,,,,,
HK ORI,V-HK-ORI,,HKORI,EM MWC 497,HBC 94,2MASS J05312805+1209102,GAIA-DR2-3340972119446813440,,,,,,,
KK OPH,V-KK-OPH,,KKOPH,EM AS 220,CD-27 11501,HBC273,2MASS J17100811-2715190,GAIA-DR1-4108644089918660736,,,,,,
RW AUR A,V-RW-AUR-A,,NAME-RW-AUR-A,GAIA-DR2-156430822114424576,,,,,,,,,,
UX TAU A,V-UX-TAU-A,,NAME-UX-TAU-A,BD+17 736A,HD 285846A,2MASS J04300399+1813493,SSTC2D J043004.0+181349,GAIA-DR2-3314508622616073472,,,,,,
V1001 SCO,V-V1001-SCO,,WA OPH 2,NAME-V-V1001-SCO-A,RX J1612.0-1906,2MASS J16115927-1906532,GAIA-DR2-6245812948756034816,,,,,,,
HD 294260,HD-294260,,P2441,CHN 18,BD-04 1191,HBC 484,KISO A-0976 283,,,,,,,
